Category,School,Address,url
市区町村,栄谷保育所,和歌山県和歌山市栄谷４２８－３,https://www.gaccom.jp/nurseryschool-18665.html
市区町村,本町こども園,和歌山県和歌山市北桶屋町７,https://www.gaccom.jp/nurseryschool-18670.html
市区町村,西和佐保育所,和歌山県和歌山市岩橋１３１７－４,https://www.gaccom.jp/nurseryschool-18671.html
市区町村,名草保育所,和歌山県和歌山市紀三井寺２８７,https://www.gaccom.jp/nurseryschool-18672.html
市区町村,宮北保育所,和歌山県和歌山市黒田３５４－１,https://www.gaccom.jp/nurseryschool-18676.html
市区町村,砂山保育所,和歌山県和歌山市砂山南２－１－４,https://www.gaccom.jp/nurseryschool-18678.html
市区町村,小倉保育所,和歌山県和歌山市新庄５６,https://www.gaccom.jp/nurseryschool-18688.html
市区町村,西脇保育所,和歌山県和歌山市西庄１０１６,https://www.gaccom.jp/nurseryschool-18692.html
市区町村,宮保育所,和歌山県和歌山市太田４丁目５番－２０,https://www.gaccom.jp/nurseryschool-18697.html
市区町村,杭ノ瀬保育所,和歌山県和歌山市杭ノ瀬１９－８,https://www.gaccom.jp/nurseryschool-18706.html
市区町村,芦原こども園,和歌山県和歌山市雄松町５－４－１,https://www.gaccom.jp/nurseryschool-18709.html
市区町村,楠見保育所,和歌山県和歌山市楠見中１０５,https://www.gaccom.jp/nurseryschool-18710.html
市区町村,川永保育所,和歌山県和歌山市楠本２８４－１,https://www.gaccom.jp/nurseryschool-18711.html
市区町村,宮前保育所,和歌山県和歌山市北中島１－２－６,https://www.gaccom.jp/nurseryschool-18716.html
市区町村,安原保育所,和歌山県和歌山市本渡３９６－４,https://www.gaccom.jp/nurseryschool-18717.html
市区町村,鳴神保育所,和歌山県和歌山市鳴神６９５,https://www.gaccom.jp/nurseryschool-18718.html
社会福祉法人,まことこども園（保）,和歌山県和歌山市つつじが丘４丁目３－２,https://www.gaccom.jp/nurseryschool-18661.html
社会福祉法人,あわ保育園,和歌山県和歌山市粟２５５－５,https://www.gaccom.jp/nurseryschool-18662.html
社会福祉法人,岡崎保育園,和歌山県和歌山市井辺１３４－２,https://www.gaccom.jp/nurseryschool-18663.html
社会福祉法人,とうようこども園（保）,和歌山県和歌山市宇田森６７,https://www.gaccom.jp/nurseryschool-18664.html
社会福祉法人,有功保育園,和歌山県和歌山市園部１－１,https://www.gaccom.jp/nurseryschool-18667.html
社会福祉法人,まことなるたきこども園（保）,和歌山県和歌山市園部３８１－２８,https://www.gaccom.jp/nurseryschool-18668.html
社会福祉法人,こうま保育園,和歌山県和歌山市下三毛５６６,https://www.gaccom.jp/nurseryschool-18669.html
社会福祉法人,しょうぶこども園（保）,和歌山県和歌山市吉礼５３番地の６,https://www.gaccom.jp/nurseryschool-18673.html
社会福祉法人,さかえ保育園,和歌山県和歌山市狐島３９４,https://www.gaccom.jp/nurseryschool-18675.html
社会福祉法人,むつみこども園（保）,和歌山県和歌山市砂山南３丁目２番２１号,https://www.gaccom.jp/nurseryschool-18679.html
社会福祉法人,さんた保育園,和歌山県和歌山市坂田１８,https://www.gaccom.jp/nurseryschool-18683.html
社会福祉法人,じろうまるこども園（保）,和歌山県和歌山市次郎丸１０７－１,https://www.gaccom.jp/nurseryschool-18684.html
社会福祉法人,しろがね保育園,和歌山県和歌山市秋月６７－３,https://www.gaccom.jp/nurseryschool-18685.html
社会福祉法人,城北保育所,和歌山県和歌山市小人町２９,https://www.gaccom.jp/nurseryschool-18686.html
社会福祉法人,紀之川保育園,和歌山県和歌山市松島１２１－１,https://www.gaccom.jp/nurseryschool-18687.html
社会福祉法人,新堀こども園（保）,和歌山県和歌山市新堀東２－１－２５,https://www.gaccom.jp/nurseryschool-18690.html
社会福祉法人,ようすい子ども園（保）,和歌山県和歌山市西浜１２１８－３,https://www.gaccom.jp/nurseryschool-18693.html
社会福祉法人,かぜのこ保育園,和歌山県和歌山市大谷８３１－２５,https://www.gaccom.jp/nurseryschool-18695.html
社会福祉法人,のぞみ保育園,和歌山県和歌山市善明寺４７１,https://www.gaccom.jp/nurseryschool-18696.html
社会福祉法人,山口こども園（保）,和歌山県和歌山市谷２,https://www.gaccom.jp/nurseryschool-18698.html
社会福祉法人,さつきこども園（保）,和歌山県和歌山市中島７０－８,https://www.gaccom.jp/nurseryschool-18699.html
社会福祉法人,きわ保育園,和歌山県和歌山市中之島９６９－１０,https://www.gaccom.jp/nurseryschool-18701.html
社会福祉法人,太陽保育園,和歌山県和歌山市土入２８４－１２,https://www.gaccom.jp/nurseryschool-18707.html
社会福祉法人,ほしや子ども園（保）,和歌山県和歌山市布施屋３－１,https://www.gaccom.jp/nurseryschool-18712.html
社会福祉法人,紀伊保育園,和歌山県和歌山市直川３２６－９,https://www.gaccom.jp/nurseryschool-18713.html
社会福祉法人,かんどりこども園（保）,和歌山県和歌山市平井４６６－１,https://www.gaccom.jp/nurseryschool-18714.html
社会福祉法人,広瀬幼保園（保）,和歌山県和歌山市片岡町１－２,https://www.gaccom.jp/nurseryschool-18715.html
社会福祉法人,みちる保育園,和歌山県和歌山市毛見４３５,https://www.gaccom.jp/nurseryschool-18719.html
社会福祉法人,こひつじこども園（保）,和歌山県和歌山市木ノ本１２３０番２,https://www.gaccom.jp/nurseryschool-18720.html
社会福祉法人,すみれこども園（保）,和歌山県和歌山市木ノ本３２１－２,https://www.gaccom.jp/nurseryschool-18721.html
社会福祉法人,のざき保育園,和歌山県和歌山市野崎１１５,https://www.gaccom.jp/nurseryschool-18722.html
社会福祉法人,ふたば保育園,和歌山県和歌山市友田町３－３０,https://www.gaccom.jp/nurseryschool-18723.html
社会福祉法人,ひまわりこども園（保）,和歌山県和歌山市有本４３１,https://www.gaccom.jp/nurseryschool-18724.html
社会福祉法人,片男波こども園（保）,和歌山県和歌山市和歌浦南２－１１－８,https://www.gaccom.jp/nurseryschool-18725.html
社会福祉法人,つくし幼保園（保）,和歌山県和歌山市吉礼４８６－１,https://www.gaccom.jp/nurseryschool-85538.html
社会福祉法人,木ノ本こども園（保）,和歌山県和歌山市木ノ本３００番の１,https://www.gaccom.jp/nurseryschool-91749.html
公益法人,和歌山認定こども園,和歌山県和歌山市中１３２番地３,https://www.gaccom.jp/nurseryschool-101262.html
その他の法人,いさお幼稚園（保）,和歌山県和歌山市園部１５１８－１,https://www.gaccom.jp/nurseryschool-86966.html
その他の法人,和歌山ひかり幼稚園（保）,和歌山県和歌山市関戸１－２－３１,https://www.gaccom.jp/nurseryschool-86967.html
その他の法人,三宝幼稚園（保）,和歌山県和歌山市楠本２６７－１,https://www.gaccom.jp/nurseryschool-86970.html
その他の法人,みどり幼稚園（保）,和歌山県和歌山市東高松３－３－３０,https://www.gaccom.jp/nurseryschool-91750.html
その他の法人,愛徳幼稚園（保）,和歌山県和歌山市今福３丁目６番３７号,https://www.gaccom.jp/nurseryschool-91751.html
その他の法人,名草幼稚園（保）,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html
その他の法人,たから幼稚園（保）,和歌山県和歌山市塩屋２丁目１の１５,https://www.gaccom.jp/nurseryschool-91753.html
その他の法人,まつえ幼稚園（保）,和歌山県和歌山市松江中３丁目１番３５,https://www.gaccom.jp/nurseryschool-101263.html
