カテゴリ,物件名,住所,最寄りのアクセス_1,最寄りのアクセス_2,最寄りのアクセス_3,築年数,階数,階,家賃,管理費,敷金,礼金,間取,面積,URL
賃貸アパート,カサ・セピア,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩16分,南海本線/紀ノ川駅 歩47分,南海加太線/紀ノ川駅 歩47分,築17年,2階建,1階,4.6万円,3000円,4.6万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000083981961/?bc=100318281341
賃貸アパート,カサ・セピア,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩16分,南海本線/紀ノ川駅 歩47分,南海加太線/紀ノ川駅 歩47分,築17年,2階建,1階,4.6万円,3000円,4.6万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000083981960/?bc=100335611820
賃貸アパート,カサ・セピア,和歌山県和歌山市園部,ＪＲ阪和線/六十谷駅 歩16分,南海本線/紀ノ川駅 歩47分,南海加太線/紀ノ川駅 歩47分,築17年,2階建,1階,5.1万円,3000円,5.1万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000080659740/?bc=100334799723
賃貸マンション,リッチ＆フォースＭＩＫＡＺＵＲＡ,和歌山県和歌山市三葛,ＪＲ紀勢本線/紀三井寺駅 歩12分,ＪＲ紀勢本線/宮前駅 歩28分,わかやま電鉄貴志川線/竈山駅 歩35分,築7年,3階建,1階,5.5万円,5000円,5.5万円,5.5万円,1LDK,38.25m2,https://suumo.jp/chintai/jnc_000031598398/?bc=100346854068
賃貸アパート,南海加太線 二里ケ浜駅 2階建 築8年,和歌山県和歌山市本脇,南海加太線/二里ケ浜駅 歩8分,南海加太線/西ノ庄駅 歩14分,南海加太線/磯ノ浦駅 歩17分,築8年,2階建,1階,5.6万円,3000円,5.6万円,-,1LDK,44.9m2,https://suumo.jp/chintai/jnc_000065773454/?bc=100329031818
賃貸アパート,南海加太線 二里ケ浜駅 2階建 築8年,和歌山県和歌山市本脇,南海加太線/二里ケ浜駅 歩8分,南海加太線/西ノ庄駅 歩14分,南海加太線/磯ノ浦駅 歩17分,築8年,2階建,2階,6.2万円,3000円,6.2万円,-,2LDK,56.76m2,https://suumo.jp/chintai/jnc_000076320504/?bc=100346834707
賃貸アパート,ＴＮ-Ｆｕｋｕｓｈｉｍａ,和歌山県和歌山市福島,南海本線/紀ノ川駅 歩10分,ＪＲ紀勢本線/和歌山市駅 歩19分,ＪＲ阪和線/和歌山駅 歩49分,築6年,2階建,1階,5.8万円,3500円,5.8万円,5.8万円,1LDK,42.59m2,https://suumo.jp/chintai/jnc_000033172676/?bc=100259631474
賃貸アパート,ラ・カーサＨＡＮＡ,和歌山県和歌山市本脇,南海加太線/二里ケ浜駅 歩8分,南海加太線/西ノ庄駅 歩15分,南海加太線/磯ノ浦駅 歩17分,築8年,2階建,1階,5.6万円,3000円,5.6万円,-,1LDK,44.9m2,https://suumo.jp/chintai/jnc_000064481324/?bc=100327898700
賃貸アパート,ラ・カーサＨＡＮＡ,和歌山県和歌山市本脇,南海加太線/二里ケ浜駅 歩8分,南海加太線/西ノ庄駅 歩15分,南海加太線/磯ノ浦駅 歩17分,築8年,2階建,2階,6.2万円,3000円,6.2万円,-,2LDK,56.76m2,https://suumo.jp/chintai/jnc_000076280947/?bc=100346830855
賃貸マンション,サンズパークIII,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩15分,わかやま電鉄貴志川線/神前駅 歩20分,築17年,3階建,1階,5.7万円,4400円,-,5.7万円,1LDK,43.02m2,https://suumo.jp/chintai/jnc_000082477067/?bc=100328429931
賃貸マンション,サンズパークIII,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩15分,わかやま電鉄貴志川線/神前駅 歩20分,築17年,3階建,1階,5.8万円,4000円,-,5.8万円,1LDK,43.02m2,https://suumo.jp/chintai/jnc_000047734100/?bc=100346854079
賃貸マンション,サンズパークIII,和歌山県和歌山市南出島,ＪＲ紀勢本線/宮前駅 歩10分,わかやま電鉄貴志川線/田中口駅 歩15分,わかやま電鉄貴志川線/神前駅 歩20分,築17年,3階建,1階,5.8万円,4400円,-,5.8万円,1LDK,43.02m2,https://suumo.jp/chintai/jnc_000084696915/?bc=100342180201
賃貸アパート,エクレール三宅I,和歌山県和歌山市有本,ＪＲ阪和線/紀伊中ノ島駅 歩17分,ＪＲ紀勢本線/紀和駅 歩25分,わかやま電鉄貴志川線/田中口駅 歩35分,築9年,2階建,2階,5.25万円,4400円,-,5.25万円,1LDK,41.36m2,https://suumo.jp/chintai/jnc_000085437256/?bc=100274705804
賃貸アパート,エクレール三宅I,和歌山県和歌山市有本,ＪＲ阪和線/紀伊中ノ島駅 歩17分,ＪＲ紀勢本線/紀和駅 歩25分,わかやま電鉄貴志川線/田中口駅 歩35分,築9年,2階建,2階,5.3万円,4400円,-,5.3万円,1LDK,41.36m2,https://suumo.jp/chintai/jnc_000085387663/?bc=100346690616
賃貸アパート,Sun Green Nakano,和歌山県和歌山市中野,南海加太線/東松江駅 歩15分,南海加太線/中松江駅 歩20分,南海本線/紀ノ川駅 歩35分,築15年,2階建,1階,5.3万円,4000円,-,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000050469901/?bc=100319401534
賃貸アパート,Sun Green Nakano,和歌山県和歌山市中野,南海加太線/東松江駅 歩15分,南海加太線/中松江駅 歩20分,南海本線/紀ノ川駅 歩35分,築15年,2階建,2階,5.3万円,4000円,5.3万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000047246978/?bc=100346559823
賃貸アパート,Sun Green Nakano,和歌山県和歌山市中野,南海加太線/東松江駅 歩15分,南海加太線/中松江駅 歩20分,南海本線/紀ノ川駅 歩35分,築15年,2階建,2階,5.3万円,4000円,5.3万円,-,1LDK,36m2,https://suumo.jp/chintai/jnc_000029718435/?bc=100264786099
賃貸アパート,グランチェスタI,和歌山県和歌山市六十谷,ＪＲ阪和線/六十谷駅 歩10分,ＪＲ阪和線/紀伊駅 歩53分,,築15年,2階建,1階,4.7万円,4000円,4.7万円,-,1K,30.96m2,https://suumo.jp/chintai/jnc_000027476072/?bc=100346830893
賃貸アパート,グランチェスタI,和歌山県和歌山市六十谷,ＪＲ阪和線/六十谷駅 歩10分,ＪＲ阪和線/紀伊駅 歩53分,,築15年,2階建,2階,4.8万円,4000円,4.8万円,-,1K,30.96m2,https://suumo.jp/chintai/jnc_000024358132/?bc=100339941672
