Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
biima sports(ビーマ スポーツ) 和歌山校,サッカー・フットサル/野球・ソフトボール/バスケットボール/テニス/運動・体操,和歌山県和歌山市小雑賀239番地ワカヤマテニススクール内,きのくに線宮前駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/振替あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000793,34.2062957,135.1828011
ラボ・パーティ 和歌山市松江教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市松江1478-44,南海本線和歌山市駅/南海本線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,親子コースあり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010236,34.2397938,135.1543891
ECCジュニア 木ノ本教室,英語・英会話,和歌山県和歌山市木ノ本３３０－５　,南海加太線八幡前駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005937,34.2586283,135.1281293
ECCジュニア 神波教室,英語・英会話/学習塾,和歌山県和歌山市神波31-5　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005980,34.2643918,135.2550947
ラボ・パーティ 和歌山市中之島教室(加地 亜希パーティ),英語・英会話/幼児教室,和歌山県和歌山市中之島1288,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010341,34.2408129,135.1883225
ECCジュニア 有本教室,英語・英会話/学習塾,和歌山県和歌山市有本568-6　,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005955,34.2472403,135.1921745
ECCジュニア 新中通１丁目教室,英語・英会話,和歌山県和歌山市新中通1丁目37番地　,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006000,34.2294187,135.1828871
カワイ音楽教室 和歌山センター,ピアノ,和歌山県和歌山市友田町４丁目１１８,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,マンツーマン/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92700001107,34.2322499,135.1883074
ECCジュニア 秋月教室,英語・英会話/学習塾,和歌山県和歌山市秋月180-9　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005996,34.2327822,135.2065871
ECCジュニア 梶取教室,英語・英会話,和歌山県和歌山市梶取148-15,南海本線紀ノ川駅/南海加太線紀ノ川駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005984,34.2524776,135.1559479
