Address,Area,Group,Block
和歌山県和歌山市葵町,今福地区,第8ブロック,中心部地域
和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域
和歌山県和歌山市秋葉町,高松地区,第8ブロック,中心部地域
和歌山県和歌山市朝日,安原地区,第5ブロック,南東部地域
和歌山県和歌山市芦辺丁,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市小豆島,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市網屋町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市有家,宮地区,第6ブロック,中心部地域
和歌山県和歌山市有田屋町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市有田屋町南ノ丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域
和歌山県和歌山市新内,大新地区,第10ブロック,中心部地域
和歌山県和歌山市粟,楠見地区,第2ブロック,北部地域
和歌山県和歌山市石橋丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市磯の浦,西脇地区,第1ブロック,北西部地域
和歌山県和歌山市板屋町,城北地区,第9ブロック,中心部地域
和歌山県和歌山市伊太祈曽,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市市小路,楠見地区,第2ブロック,北部地域
和歌山県和歌山市一番丁,城北地区,第9ブロック,中心部地域
和歌山県和歌山市五筋目,城北地区,第9ブロック,中心部地域
和歌山県和歌山市井戸,安原地区,第5ブロック,南東部地域
和歌山県和歌山市井ノ口,和佐地区,第4ブロック,東部地域
和歌山県和歌山市今福1,今福地区,第8ブロック,中心部地域
和歌山県和歌山市今福2,高松地区,第8ブロック,中心部地域
和歌山県和歌山市今福3,今福地区,第8ブロック,中心部地域
和歌山県和歌山市今福4,今福地区,第8ブロック,中心部地域
和歌山県和歌山市今福5,今福地区,第8ブロック,中心部地域
和歌山県和歌山市岩橋,西和佐地区,第4ブロック,東部地域
和歌山県和歌山市井辺,岡崎地区,第5ブロック,南東部地域
和歌山県和歌山市上野,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市上野町1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市上野町2,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市上野町3,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市植松丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市宇治鉄砲場,本町地区,第9ブロック,中心部地域
和歌山県和歌山市宇治袋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市宇治家裏,本町地区,第9ブロック,中心部地域
和歌山県和歌山市宇治藪下,本町地区,第9ブロック,中心部地域
和歌山県和歌山市宇須1,高松地区,第8ブロック,中心部地域
和歌山県和歌山市宇須2,吹上地区,第8ブロック,中心部地域
和歌山県和歌山市宇須3,高松地区,第8ブロック,中心部地域
和歌山県和歌山市宇須4,高松地区,第8ブロック,中心部地域
和歌山県和歌山市宇田森,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市打越町,高松地区,第8ブロック,中心部地域
和歌山県和歌山市内原,名草地区,第7ブロック,南部地域
和歌山県和歌山市梅原,貴志地区,第2ブロック,北部地域
和歌山県和歌山市上町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市餌差町1,大新地区,第10ブロック,中心部地域
和歌山県和歌山市餌差町2,大新地区,第10ブロック,中心部地域
和歌山県和歌山市江南,安原地区,第5ブロック,南東部地域
和歌山県和歌山市榎原,木本地区,第1ブロック,北西部地域
和歌山県和歌山市大川,加太地区,第1ブロック,北西部地域
和歌山県和歌山市大河内,東山東地区,第5ブロック,南東部地域
和歌山県和歌山市大垣内,小倉地区,第4ブロック,東部地域
和歌山県和歌山市大谷,楠見地区,第2ブロック,北部地域
和歌山県和歌山市太田,宮地区,第6ブロック,中心部地域
和歌山県和歌山市太田1,宮地区,第6ブロック,中心部地域
和歌山県和歌山市太田2,宮地区,第6ブロック,中心部地域
和歌山県和歌山市太田3,宮地区,第6ブロック,中心部地域
和歌山県和歌山市太田4,宮地区,第6ブロック,中心部地域
和歌山県和歌山市岡円福院西ノ丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市岡円福院東ノ丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市岡織屋小路,大新地区,第10ブロック,中心部地域
和歌山県和歌山市岡北ノ丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市岡南ノ丁,大新地区,第10ブロック,中心部地域
和歌山県和歌山市岡山丁,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市奥須佐,西山東地区,第5ブロック,南東部地域
和歌山県和歌山市小倉,小倉地区,第4ブロック,東部地域
和歌山県和歌山市尾崎丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市落合,山口地区,第3ブロック,北東部地域
和歌山県和歌山市男野芝丁,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市小野町1,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市小野町2,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市小野町3,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市雄松町1,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市雄松町2,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市雄松町3,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市雄松町4,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市雄松町5,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市雄松町6,芦原地区,第10ブロック,中心部地域
和歌山県和歌山市嘉家作丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市駕町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市片岡町1,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市片岡町2,広瀬地区,第10ブロック,中心部地域
和歌山県和歌山市加太,加太地区,第1ブロック,北西部地域
和歌山県和歌山市徒町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市金谷,小倉地区,第4ブロック,東部地域
和歌山県和歌山市加納,四箇郷地区,第4ブロック,東部地域
和歌山県和歌山市加納町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市上黒谷,山口地区,第3ブロック,北東部地域
和歌山県和歌山市上三毛,小倉地区,第4ブロック,東部地域
和歌山県和歌山市川辺,川永地区,第3ブロック,北東部地域
和歌山県和歌山市梶取,野崎地区,第2ブロック,北部地域
和歌山県和歌山市北,紀伊地区,第3ブロック,北東部地域
和歌山県和歌山市北相生丁,砂山地区,第8ブロック,中心部地域
和歌山県和歌山市北牛町,雄湊地区,第9ブロック,中心部地域
和歌山県和歌山市北桶屋町,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北休賀町,大新地区,第10ブロック,中心部地域
和歌山県和歌山市北釘貫丁,本町地区,第9ブロック,中心部地域
和歌山県和歌山市北細工町,広瀬地区,第10ブロック,中心部地域
