習い事_教室名,習い事_住所,習い事_アクセス,習い事_対象学年,習い事_備考,習い事_URL,習い事_経度,習い事_緯度,習い事_ジャンル_バレエ,習い事_ジャンル_音楽教室,習い事_ジャンル_バスケットボール,習い事_ジャンル_書道・習字,習い事_ジャンル_スイミング・水泳,習い事_ジャンル_柔道,習い事_ジャンル_英語・英会話,習い事_ジャンル_ピアノ,習い事_ジャンル_ダンス,習い事_ジャンル_野球・ソフトボール,習い事_ジャンル_幼児教室,習い事_ジャンル_合気道,習い事_ジャンル_サッカー・フットサル,習い事_ジャンル_テニス,習い事_ジャンル_新体操,習い事_ジャンル_学習塾,習い事_ジャンル_運動・体操,習い事_ジャンル_剣道,習い事_ジャンル_絵画・造形,習い事_ジャンル_空手・拳法,習い事_ジャンル_ラグビー
biima sports(ビーマ スポーツ) 和歌山校,和歌山県和歌山市小雑賀239番地ワカヤマテニススクール内,きのくに線宮前駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/振替あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000793,34.2062957,135.1828011,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
ラボ・パーティ 和歌山市松江教室(加地 亜希パーティ),和歌山県和歌山市松江1478-44,南海本線和歌山市駅/南海本線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,親子コースあり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010236,34.2397938,135.1543891,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECCジュニア 木ノ本教室,和歌山県和歌山市木ノ本３３０－５　,南海加太線八幡前駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005937,34.2586283,135.1281293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 神波教室,和歌山県和歌山市神波31-5　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005980,34.2643918,135.2550947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ラボ・パーティ 和歌山市中之島教室(加地 亜希パーティ),和歌山県和歌山市中之島1288,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅/紀勢本線(和歌山～和歌山市)和歌山駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s19000010341,34.2408129,135.1883225,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ECCジュニア 有本教室,和歌山県和歌山市有本568-6　,阪和線(天王寺～和歌山)紀伊中ノ島駅/紀勢本線(和歌山～和歌山市)紀和駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005955,34.2472403,135.1921745,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 新中通１丁目教室,和歌山県和歌山市新中通1丁目37番地　,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006000,34.2294187,135.1828871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
カワイ音楽教室 和歌山センター,和歌山県和歌山市友田町４丁目１１８,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,マンツーマン/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92700001107,34.2322499,135.1883074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 秋月教室,和歌山県和歌山市秋月180-9　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005996,34.2327822,135.2065871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 梶取教室,和歌山県和歌山市梶取148-15,南海本線紀ノ川駅/南海加太線紀ノ川駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005984,34.2524776,135.1559479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 西浜教室,和歌山県和歌山市西浜２丁目４－１２　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005965,34.2009592,135.1639068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 山東教室,和歌山県和歌山市吉礼１４５３－１　,貴志川線吉礼駅/貴志川線岡崎前駅/貴志川線交通センター前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005940,34.20741110000001,135.234407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 鳴神教室,和歌山県和歌山市鳴神２４８－４１　,貴志川線日前宮駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005967,34.228311,135.2156648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 野崎教室,和歌山県和歌山市狐島２６７－１８　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005972,34.2437083,135.1515794,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 朝日教室,和歌山県和歌山市朝日320,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005989,34.1973292,135.2151158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 森小手穂教室,和歌山県和歌山市森小手穂１２０２　,貴志川線交通センター前駅/貴志川線岡崎前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005941,34.2133208,135.2190202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 有家教室,和歌山県和歌山市有家２８３　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005959,34.2223134,135.1989048,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 和歌浦教室,和歌山県和歌山市和歌浦中3-3-8ハートブルーユニオン2F,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006003,34.1883973,135.1724438,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 善明寺教室,和歌山県和歌山市善明寺７２７－２５　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200006023,34.265785,135.1822974,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 紀ノ川駅前教室,和歌山県和歌山市市小路156　,南海本線紀ノ川駅/南海加太線紀ノ川駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005994,34.2558677,135.164871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 朝日北教室,和歌山県和歌山市朝日２２９－８　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200006010,34.1883464,135.2220151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 西浜３丁目教室,和歌山県和歌山市西浜3丁目5番55-1号　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200006029,34.2009087,135.1616868,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 松島東教室,和歌山県和歌山市松島358-4　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005983,34.246192,135.211825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア ふじと台東教室,和歌山県和歌山市栄谷974-84　,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006012,34.2701799,135.1575366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 西和佐小学校前教室,和歌山県和歌山市岩橋1005-1　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200006028,34.2377852,135.2281381,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 岩橋教室,和歌山県和歌山市岩橋１５８２－３　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005943,34.2321119,135.2239002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 榎原団地教室,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961,34.2551856,135.130213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 名草小学校前教室,和歌山県和歌山市紀三井寺534-6ソフィアファーストビル2,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005945,34.1775594,135.1866043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 布引教室,和歌山県和歌山市布引405-1　,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005944,34.17689120000001,135.1797423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 杭ノ瀬教室,和歌山県和歌山市杭ノ瀬１９３－１３　,きのくに線宮前駅/貴志川線神前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006024,34.209801,135.196674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 四ヶ郷北教室,和歌山県和歌山市有本415-29　,阪和線(天王寺～和歌山)紀伊中ノ島駅/阪和線(天王寺～和歌山)六十谷駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005966,34.2523724,135.1979025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 小倉教室,和歌山県和歌山市大垣内12-3　,JR和歌山線紀伊小倉駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006009,34.241188,135.2794813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECCジュニア 秋葉町教室,和歌山県和歌山市4-21秋葉山マンション108　,,,,https://sp-sukusuku.jp/kyoushitsu/s91200005970,34.2008482,135.1708167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECCジュニア 楠本教室,和歌山県和歌山市楠本72-18　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006007,34.2601309,135.2536333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ECC外語学院 ECCKIDS 和歌山ミオ校,和歌山県和歌山市美園町5-61和歌山ミオ3F,阪和線(天王寺～和歌山)和歌山駅/JR和歌山線和歌山駅/きのくに線和歌山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/親子コースあり/駅チカ,https://sp-sukusuku.jp/kyoushitsu/s92900000135,34.232415,135.1905193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ラボ・パーティ 和歌山市湊御殿教室(森 瑞穂パーティ),和歌山県和歌山市湊御殿3丁目7-7,南海和歌山港線和歌山港駅,⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s22000000038,34.2178447,135.1587525,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ラボ・パーティ 和歌山市中之島教室(納谷 里咲パーティ),和歌山県和歌山市中之島,紀勢本線(和歌山～和歌山市)紀和駅,ベビー,親子コースあり,https://sp-sukusuku.jp/kyoushitsu/s90300000058,34.2417354,135.1857186,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
講談社こども教室 パームシティ和歌山教室,和歌山県和歌山市中野31-1パームシティ和歌山1階,南海加太線東松江駅/南海加太線中松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,土日あり/駐車場あり,https://sp-sukusuku.jp/kyoushitsu/s93400000066,34.2553942,135.1403921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
