title,address,facility,緯度,経度
アドベンチャーワールド,和歌山県西牟婁郡白浜町堅田2399,８０万平方メートルの広大な敷地を持ち、動物園や遊園地、マリンワールドなどバラエティーが豊富な施設が揃った総合レジャーランド。サファリワールドやパンダワール...,33.6776857,135.3774187
海南nobinos（ノビノス）,和歌山県海南市日方1525-6,"子どもが騒いでも安心な、“遊べる”公共図書館です。
日本一の開架冊数となる5万冊の絵本に囲まれ、柔らかい本棚は万が一ぶつかっても安心。
大型絵本や仕掛...",34.155273,135.2092327
和歌山県植物公園緑花センター,和歌山県岩出市東坂本672,1979年に和歌山県岩出市の郊外にオープンした、花や緑が豊かな公園です。四季の花々を植えている花壇や、熱帯、亜熱帯の観葉植物を育てる温室の他に、子どもが遊...,34.256226,135.3113393
平草原公園,和歌山県西牟婁郡白浜町2054-1,和歌山県西牟婁郡の白浜町に位置し、西に紀伊水道、南に熊野枯木灘県立公園、東に熊野三千六百峰の山稜の眺望が広がる、大パノラマ公園です。敷地内には、白浜温泉の...,33.6781397,135.3481896
東松江緑地,和歌山県和歌山市松江字29町場2000,"河西緩衝緑地の一番東側にある公園です。
キャッチボールしたり寝転がって楽しめる広い芝生広場や、ターザンロープ、海賊船、複合遊具など、幼児から遊べる遊具が...",34.2385864,135.1284047
橋本市運動公園,和歌山県橋本市北馬場454,橋本市運動公園は、胡麻生・北馬場・原田地域にまたがる緑豊かな森に囲まれた総合公園です。敷地内にはグランド、テニスコート、プール（夏期）、遊具施設があります...,34.3325243,135.6172823
 芦谷公園,和歌山県日高郡日高川町高津尾 芦谷公園,安珍清姫伝説の舞台となっている道成寺のある、和歌山県日高郡日高川町。JR御坊駅からバスで40分のところにある、芦谷公園です。山と緑に囲まれた、大自然を満喫...,33.9481416,135.3012282
弘西公園,和歌山県和歌山市弘西920番地2,和歌山市の住宅街や田園地帯の中にある公園です。公園の奥側には多目的に利用できる広いグラウンドもあり、スポーツなどを楽しむこともできます。公園に入るとすぐの...,34.2650409,135.2425886
湊公園（和歌山市）,和歌山県和歌山市湊3-2-17,和歌山市の「湊小学校」の近くにある住宅街の公園です。桜の木があったり、藤棚があったりと季節の自然にも触れられます。公園の中央には芝生が広がり、多目的に遊ぶ...,34.2331409,135.1475973
西山ピクニック緑地展望舎,和歌山県日高郡日高町美浜町 西山ピクニック緑地展望舎,和歌山県日高町の南部の美浜町との境に標高３２８．７メートルの西山があります。この地域一帯が、煙樹海岸県立自然公園に指定されています。西山ピクニック緑地展望...,33.902532,135.1082711
水栖大池公園,和歌山県岩出市西国分563,"和歌山県岩出市にある水栖大池公園は、大型遊具が設置された広い公園です。
ロッククライミングや滑り台が一緒になったコンビネーション遊具は、小学生以上向きと...",34.2679524,135.3280203
Sioトープ塩屋緑地（シオトープ）,和歌山県御坊市塩屋町南塩屋450-26,"日高港塩屋緑地「Sioトープ」は海水が流れる親水池と、池を取り囲むように緑地が広がる公園です。
所在地である御坊市塩屋町の塩（しお）から愛称「Sioトー...",33.8672071,135.1599176
