Category,School,Address,url,longitude,latitude
市区町村,栄谷保育所,和歌山県和歌山市栄谷４２８－３,https://www.gaccom.jp/nurseryschool-18665.html,34.2585603,135.1614225
市区町村,本町こども園,和歌山県和歌山市北桶屋町７,https://www.gaccom.jp/nurseryschool-18670.html,34.2359552,135.1756113
市区町村,西和佐保育所,和歌山県和歌山市岩橋１３１７－４,https://www.gaccom.jp/nurseryschool-18671.html,34.2326668,135.2271778
市区町村,名草保育所,和歌山県和歌山市紀三井寺２８７,https://www.gaccom.jp/nurseryschool-18672.html,34.1785293,135.190097
市区町村,宮北保育所,和歌山県和歌山市黒田３５４－１,https://www.gaccom.jp/nurseryschool-18676.html,34.2389183,135.1954668
市区町村,砂山保育所,和歌山県和歌山市砂山南２－１－４,https://www.gaccom.jp/nurseryschool-18678.html,34.2185216,135.1636652
市区町村,小倉保育所,和歌山県和歌山市新庄５６,https://www.gaccom.jp/nurseryschool-18688.html,34.2303678,135.1707405
市区町村,西脇保育所,和歌山県和歌山市西庄１０１６,https://www.gaccom.jp/nurseryschool-18692.html,34.257257,135.1054195
市区町村,宮保育所,和歌山県和歌山市太田４丁目５番－２０,https://www.gaccom.jp/nurseryschool-18697.html,34.2291934,135.1984352
市区町村,杭ノ瀬保育所,和歌山県和歌山市杭ノ瀬１９－８,https://www.gaccom.jp/nurseryschool-18706.html,34.2134103,135.1979728
市区町村,芦原こども園,和歌山県和歌山市雄松町５－４－１,https://www.gaccom.jp/nurseryschool-18709.html,34.219577,135.1810281
市区町村,楠見保育所,和歌山県和歌山市楠見中１０５,https://www.gaccom.jp/nurseryschool-18710.html,34.2564663,135.173602
市区町村,川永保育所,和歌山県和歌山市楠本２８４－１,https://www.gaccom.jp/nurseryschool-18711.html,34.2566433,135.2566367
市区町村,宮前保育所,和歌山県和歌山市北中島１－２－６,https://www.gaccom.jp/nurseryschool-18716.html,34.2144921,135.1886858
市区町村,安原保育所,和歌山県和歌山市本渡３９６－４,https://www.gaccom.jp/nurseryschool-18717.html,34.1782823,135.2152714
市区町村,鳴神保育所,和歌山県和歌山市鳴神６９５,https://www.gaccom.jp/nurseryschool-18718.html,34.2338453,135.2112123
社会福祉法人,まことこども園（保）,和歌山県和歌山市つつじが丘４丁目３－２,https://www.gaccom.jp/nurseryschool-18661.html,34.2687397,135.1009809
社会福祉法人,あわ保育園,和歌山県和歌山市粟２５５－５,https://www.gaccom.jp/nurseryschool-18662.html,34.2529598,135.1742725
社会福祉法人,岡崎保育園,和歌山県和歌山市井辺１３４－２,https://www.gaccom.jp/nurseryschool-18663.html,34.21733390000001,135.2112741
社会福祉法人,とうようこども園（保）,和歌山県和歌山市宇田森６７,https://www.gaccom.jp/nurseryschool-18664.html,34.260949,135.2466192
社会福祉法人,有功保育園,和歌山県和歌山市園部１－１,https://www.gaccom.jp/nurseryschool-18667.html,34.2695635,135.1912434
社会福祉法人,まことなるたきこども園（保）,和歌山県和歌山市園部３８１－２８,https://www.gaccom.jp/nurseryschool-18668.html,34.2687935,135.1889714
社会福祉法人,こうま保育園,和歌山県和歌山市下三毛５６６,https://www.gaccom.jp/nurseryschool-18669.html,34.2411827,135.2989759
社会福祉法人,しょうぶこども園（保）,和歌山県和歌山市吉礼５３番地の６,https://www.gaccom.jp/nurseryschool-18673.html,34.2022843,135.235596
社会福祉法人,さかえ保育園,和歌山県和歌山市狐島３９４,https://www.gaccom.jp/nurseryschool-18675.html,34.2454174,135.1528314
社会福祉法人,むつみこども園（保）,和歌山県和歌山市砂山南３丁目２番２１号,https://www.gaccom.jp/nurseryschool-18679.html,34.2157081,135.1607862
社会福祉法人,さんた保育園,和歌山県和歌山市坂田１８,https://www.gaccom.jp/nurseryschool-18683.html,34.2056772,135.2011192
社会福祉法人,じろうまるこども園（保）,和歌山県和歌山市次郎丸１０７－１,https://www.gaccom.jp/nurseryschool-18684.html,34.2546956,135.14736
社会福祉法人,しろがね保育園,和歌山県和歌山市秋月６７－３,https://www.gaccom.jp/nurseryschool-18685.html,34.2332267,135.2019871
社会福祉法人,城北保育所,和歌山県和歌山市小人町２９,https://www.gaccom.jp/nurseryschool-18686.html,34.2308958,135.1675235
社会福祉法人,紀之川保育園,和歌山県和歌山市松島１２１－１,https://www.gaccom.jp/nurseryschool-18687.html,34.2481229,135.2119413
社会福祉法人,新堀こども園（保）,和歌山県和歌山市新堀東２－１－２５,https://www.gaccom.jp/nurseryschool-18690.html,34.2143215,135.1757713
社会福祉法人,ようすい子ども園（保）,和歌山県和歌山市西浜１２１８－３,https://www.gaccom.jp/nurseryschool-18693.html,34.1951881,135.1546587
社会福祉法人,かぜのこ保育園,和歌山県和歌山市大谷８３１－２５,https://www.gaccom.jp/nurseryschool-18695.html,34.2617418,135.177539
社会福祉法人,のぞみ保育園,和歌山県和歌山市善明寺４７１,https://www.gaccom.jp/nurseryschool-18696.html,34.2654861,135.1838529
社会福祉法人,山口こども園（保）,和歌山県和歌山市谷２,https://www.gaccom.jp/nurseryschool-18698.html,34.269993,135.2661457
社会福祉法人,さつきこども園（保）,和歌山県和歌山市中島７０－８,https://www.gaccom.jp/nurseryschool-18699.html,34.2123531,135.1887592
社会福祉法人,きわ保育園,和歌山県和歌山市中之島９６９－１０,https://www.gaccom.jp/nurseryschool-18701.html,34.2447102,135.1861886
社会福祉法人,太陽保育園,和歌山県和歌山市土入２８４－１２,https://www.gaccom.jp/nurseryschool-18707.html,34.2510281,135.1380853
社会福祉法人,ほしや子ども園（保）,和歌山県和歌山市布施屋３－１,https://www.gaccom.jp/nurseryschool-18712.html,34.2422108,135.2596907
社会福祉法人,紀伊保育園,和歌山県和歌山市直川３２６－９,https://www.gaccom.jp/nurseryschool-18713.html,34.2599055,135.2195585
社会福祉法人,かんどりこども園（保）,和歌山県和歌山市平井４６６－１,https://www.gaccom.jp/nurseryschool-18714.html,34.2628422,135.1654231
社会福祉法人,広瀬幼保園（保）,和歌山県和歌山市片岡町１－２,https://www.gaccom.jp/nurseryschool-18715.html,34.2242831,135.1747474
社会福祉法人,みちる保育園,和歌山県和歌山市毛見４３５,https://www.gaccom.jp/nurseryschool-18719.html,34.1687905,135.2011762
社会福祉法人,こひつじこども園（保）,和歌山県和歌山市木ノ本１２３０番２,https://www.gaccom.jp/nurseryschool-18720.html,34.26467,135.1225314
社会福祉法人,すみれこども園（保）,和歌山県和歌山市木ノ本３２１－２,https://www.gaccom.jp/nurseryschool-18721.html,34.2578265,135.128149
社会福祉法人,のざき保育園,和歌山県和歌山市野崎１１５,https://www.gaccom.jp/nurseryschool-18722.html,34.2437292,135.1570162
